"Map","Archetype","Hash","Kind","Ytyp","Asset","Texture","Physics","Status"
"cdd","hash_DE5BD37F","HASH_DE5BD37F","Drawable","[ytyp]\detailrua1.ytyp","hash_DE5BD37F","hash_DE5BD37F","hash_DE5BD37F","defined"
"cdd","hash_C1972BDC","HASH_C1972BDC","direct","","[ydr]\qscarroca.ydr","","","matched"
"cdd","hash_C1972BDC","HASH_C1972BDC","Drawable","[ytyp]\detailrua1.ytyp","hash_C1972BDC","hash_C1972BDC","hash_C1972BDC","defined"
"cdd","hash_434BFB7C","HASH_434BFB7C","unknown","","","","","native_or_missing"
"cdd","hash_12E3867E","HASH_12E3867E","unknown","","","","","native_or_missing"
"cdd","hash_DF8C1FD4","HASH_DF8C1FD4","unknown","","","","","native_or_missing"
"cdd","hash_509A65DD","HASH_509A65DD","unknown","","","","","native_or_missing"
"cdd","hash_D2786F70","HASH_D2786F70","unknown","","","","","native_or_missing"
"cdd","hash_47A3CA8D","HASH_47A3CA8D","direct","","[ydr]\quebradashopgraf112.ydr","","","matched"
"cdd","hash_47A3CA8D","HASH_47A3CA8D","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_47A3CA8D","hash_47A3CA8D","hash_47A3CA8D","defined"
"cdd","hash_6D6F9624","HASH_6D6F9624","direct","","[ydr]\quebradashopgraf114.ydr","","","matched"
"cdd","hash_6D6F9624","HASH_6D6F9624","Drawable","[ytyp]\quebradashopgraf.ytyp","hash_6D6F9624","hash_6D6F9624","hash_6D6F9624","defined"
"cdd","hash_E39B04AC","HASH_E39B04AC","unknown","","","","","native_or_missing"
"cdd","hash_D216EA01","HASH_D216EA01","unknown","","","","","native_or_missing"
"cdd","hash_A01D4764","HASH_A01D4764","unknown","","","","","native_or_missing"
"cdd","hash_A227D7F5","HASH_A227D7F5","unknown","","","","","native_or_missing"
"cdd","hash_F3B38B02","HASH_F3B38B02","unknown","","","","","native_or_missing"
"cdd","hash_8EA015A2","HASH_8EA015A2","unknown","","","","","native_or_missing"
"cdd","hash_C079B265","HASH_C079B265","unknown","","","","","native_or_missing"
"cdd","hash_727E0DF8","HASH_727E0DF8","unknown","","","","","native_or_missing"
"cdd","hash_1C587FA6","HASH_1C587FA6","unknown","","","","","native_or_missing"
"cdd","hash_49673B7D","HASH_49673B7D","unknown","","","","","native_or_missing"
"cdd","hash_6842472D","HASH_6842472D","unknown","","","","","native_or_missing"
"cdd","hash_49F90A9B","HASH_49F90A9B","unknown","","","","","native_or_missing"
"cdd","hash_CF03CCD5","HASH_CF03CCD5","unknown","","","","","native_or_missing"
"cdd","hash_4D0A9B85","HASH_4D0A9B85","unknown","","","","","native_or_missing"
