"Map","Scope","RelativePath","Extension","Bytes","SHA256"
"deus","exclusive","[ydr]\qsbarraco59b.ydr",".ydr","45912","287A15C9561250CF3119A6935CAE0B0864441146DFCCA0722B96BE079AF06EF8"
"deus","exclusive","[ydr]\qsbarraco60b.ydr",".ydr","47740","6241B0A73B48896D24C7475215F8A617124D54F147416E53FF8193301422C28F"
"deus","exclusive","[ydr]\qsbarraco66.ydr",".ydr","10680","8A4A51BC41E336759477718941023A8B4177E12217AEC0219F235593BD1BC04E"
"deus","exclusive","[ydr]\qsbarraco68.ydr",".ydr","74998","21F6902D9699D90A7E67C69A534657237BED8C905707ED526D823B7760CDCA14"
"deus","exclusive","[ydr]\qsbarraco69.ydr",".ydr","26666","882C157AC4E0AA63D65F9DAC2FEEBE64209C9F4356EB736BC0C8EA56832FABED"
"deus","exclusive","[ydr]\qsbarraco71.ydr",".ydr","96718","9EA3CC08BFDA7D32174CACA88244BB2AB2DF54838BC6F59A13E8098D7F2461F2"
"deus","exclusive","[ydr]\qsbarraco73b.ydr",".ydr","89312","630E680929AF4B7FFDEF8101105C652322CDED829D38CA5BF35EDFF3CCB77962"
"deus","exclusive","[ydr]\qsbarraco74.ydr",".ydr","49268","45D97B500F434686AB40604D6726C1896A0C49D1929919ACA666044167B8E91A"
"deus","exclusive","[ydr]\qsbarraco74e.ydr",".ydr","49268","3AFB793EB4704908B0CE37209978B8537E40E08E5AFB12D2C5A56A599CE0B549"
"deus","exclusive","[ydr]\qsbarraco75.ydr",".ydr","91106","A17614A429D6C9AF5354770788B76C70BE6D78D4564A895913EDE3423414035B"
"deus","exclusive","[ydr]\qsbarraco75f.ydr",".ydr","86541","7F1A83D23D595C33348817A3AAF64C588DE54347D7E04668E094D8E15D4362C6"
"deus","exclusive","[ydr]\qsbarraco75g.ydr",".ydr","91100","A2C23F10B49A4593D37B46E03239DE0EB0A0A9E4E456B02C6176C02F71B05DF1"
"deus","exclusive","[ydr]\qsbarraco76.ydr",".ydr","121436","E9DF7BB831FE695EF7F5EF5583D5D746430C3D2FA4A09539DD738870B0F84F96"
"deus","exclusive","[ydr]\qsbarraco76a.ydr",".ydr","121448","C4B2A63DD8F7FC685D96C1067905D2CE72C4042110AA5F18E06D6E38401428BE"
"deus","exclusive","[ydr]\qsbarraco80.ydr",".ydr","35101","63E060A7CDA01838836AF8B564D3B02206E9512A7B375EF190B0EF32046997E9"
"deus","exclusive","[ydr]\qsbarraco81d.ydr",".ydr","26859","D09A73BD8CA1218746F625B3AAABA65DADC3DCB8D37288C280B865C868F3B440"
"deus","exclusive","[ydr]\qsbarraco81e.ydr",".ydr","26858","A383811D66166D53BC28321C485B8F9E6AA5D73E4D6AD65900726A830BD8C558"
"deus","exclusive","[ydr]\qsbarraco84f.ydr",".ydr","21031","519C22B856E657A96B3A0CCBCC1FC86EF7C5BC091EA1FB2B805D712E9BDE08DD"
"deus","exclusive","[ydr]\qsbarraco84g.ydr",".ydr","21033","350A734CB5CC870DACFD35089444C12CAB31D1E5C9F1CB34BC81DB9E9F3C1EE4"
"deus","exclusive","[ydr]\qsbarraco85g.ydr",".ydr","12794","68A49A5DA418F7A8AE19681253AF1978B27FA76FE05C8C30670786DDF41D39BA"
"deus","exclusive","[ydr]\qsconcreto.ydr",".ydr","170153","03A36739A8F677162D783E29B27770F15B397391A5C09319A7BA9AA3CF05D2F8"
"deus","exclusive","[ydr]\qsv_51_clothing03.ydr",".ydr","897754","74062A13D6038769ECD6330E03E5487BAA540A9BF0BB026CBF4235862B8A99F8"
"deus","exclusive","[ydr]\qsv_51_clothing07.ydr",".ydr","380716","5D55B0F3E52D598B35908679AC1B0CBE8B1936AC63449FC42388C25C6DA2B4EE"
"deus","exclusive","[ydr]\qsv_52_clothing07.ydr",".ydr","577380","1D01BF454583B8AC8BEFFC0740E7E2567D721E9BF6DA7DCA14478A25F013880A"
"deus","exclusive","[ydr]\quebradafv_4d.ydr",".ydr","168410","F71FE841BC3F1B2AB734A744072575E27E274E043702A94729DD9318EBF8F993"
"deus","exclusive","[ydr]\quebradafv_4f.ydr",".ydr","173238","B58D3C610CE65AC168086ECADC14976403EF3C72BB656215AD22FB0E0A021E9C"
"deus","exclusive","[ydr]\quebradafv_5e.ydr",".ydr","86126","D0AB97172CC6EEE359EA2A5A82B6A12590EFFD25DD3A66B09653EB21BC6B480A"
"deus","exclusive","[ydr]\quebradafv_7b.ydr",".ydr","76526","F94EBD6EFF67B47706AD5EFD6DC958B6A8CA9C7857FBF0C1030D91800526CB4C"
"deus","exclusive","[ydr]\quebradashoconstrucao.ydr",".ydr","263752","E721873AAB7BB634AAB3E64CA9FE3F3FBF2718ADEB459D93591C9AE26B11749F"
"deus","exclusive","[ydr]\quebradashop_desmanche.ydr",".ydr","115667","80FE390DC8510BD846A354708395516112903BDA1146AC0E20BEF757A72F5CEA"
