"Resource","RuntimeClass","Started","StartDetail","Manifest","Files","SizeMB","StreamFiles","StreamMB","GitTrackedSource","DependencyHints","ContentSHA256","OriginLicense"
"[scripts]/ticket","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","10","0,52","0","0","False","""@vrp/config/Native.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","BB7240691A0276D0576F34502036DDBA375DAD93954079B2376F99B4B99A62B6","UNVERIFIED"
"[scripts]/towed","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","4","0,02","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua"",","F6368166B4D2C53077DEEEF251C82ED208C0BEF05E3C0C475A99D5E7ABCCECA5","UNVERIFIED"
"[scripts]/trucker","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","63C6BB156C7756D0DCFCEB86B31BF69100EB2EAFE37841574825F0F6389D04EC","UNVERIFIED"
"[scripts]/trunkchest","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","3","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"", | ""@vrp/config/Global.lua""","FE2FACFB8168E6FDD9D3BCFD6C4ECF788CFE19B526A2747B4230A8C9D330E2E8","UNVERIFIED"
"[scripts]/vehcontrol","RUNTIME_EXTERNAL","True","start [scripts] [GROUP] line 43","fxmanifest.lua","2","0,01","0","0","False","""@vrp/config/Native.lua"", | ""@PolyZone/client.lua"", | ""@vrp/lib/Utils.lua"",","81E3FB192384179F7C7C884243ECA86682258F208E3F25BB3CA1782EC8F8FC14","UNVERIFIED"
"[smartphone]/lb-phone","RUNTIME_EXTERNAL","True","ensure lb-phone [DIRECT] line 26","fxmanifest.lua","487","19,61","0","0","False","""@vrp/lib/Utils.lua"", | ""@oxmysql/lib/MySQL.lua"", | dependencies {","4A51380B05B900618396B02AE9D6FF3DBE886D18256673CCE1E1B2D22FD673C8","UNVERIFIED"
"[smartphone]/lb-phone-bank","RUNTIME_EXTERNAL","True","ensure lb-phone-bank [DIRECT] line 55","fxmanifest.lua","13","12,58","0","0","False","","655CFDE9E4237E5D7959806AC1DD68AE5352C50E65634523DD7FF794D4FEA8DD","UNVERIFIED"
"[smartphone]/loaf_lib","RUNTIME_EXTERNAL","True","ensure loaf_lib [DIRECT] line 17","fxmanifest.lua","22","0,04","0","0","False","","3724376ED3DEBDA8B33F56254344D7DA6A3A37919F5152DE5D9A5E498ED79429","UNVERIFIED"
"[system]/loading","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","9","34,44","0","0","False","""@vrp/config/Global.lua"",","5E0A8E26AA5776B97B0DD03327F4BC3CA472DFC097F056956E24915ABD90133A","UNVERIFIED"
"[system]/mugshot","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","9","3,44","0","0","False","","3014F8B454232C1368A3AABBF1FCDAC1C4910480AFD0A2C5B6DDC5333730F90D","UNVERIFIED"
"[system]/ox_lib","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","150","6,5","0","0","False","dependencies {","F42CB6D81B94C6F3B088ABC72BA280F29F0E06E715C46ADC0011E0CE84F17A28","UNVERIFIED"
"[system]/oxmysql","RUNTIME_EXTERNAL","True","start [system] [GROUP] line 13","fxmanifest.lua","3","1,61","0","0","False","dependencies {","8C74215465288E15C166B97350E8E644BAAB2E6D372C6300EA7FA08FD2C9D583","UNVERIFIED"
